address,amount,raw_amount
0x0EB4ADD4bA497357546DA7F5D12D39587cA24606,910078.840745339,910078840745339063088137
0xc18406AA413B4D08c729e7312239c34E45c61197,878814.8789902636,878814878990263550304750
0x3Ee505bA316879d246a8fD2b3d7eE63b51B44FAB,809591.0444082695,809591044408269461289273
0x0f3C2476FBF0ed09DFf00EA7f4eF252DcC72E6f1,775198.5451695045,775198545169504434230925
0x1bfFB3a232E06E06A5D9e93C8DF3321f768197c2,773348.6503076178,773348650307617867598376
0xC8C2b727d864CC75199f5118F0943d2087fB543b,762282.3193177998,762282319317799764118641
0x8A2F5d6D822611BDab08D306aA8F3E3942177417,745575.3141912328,745575314191232830030532
0x94692B042A0E36671952FF0B71e43d6e0D06845a,738931.0406447967,738931040644796632057656
0x9Ce551A9D2B1A4Ec0cc6eB0E0CC12977F6ED306C,706795.273437756,706795273437755967099365
0x840921459c1c7F38260587a4aDA3A28287484af0,701921.0376607769,701921037660776821808106
0x49a2DcC237a65Cc1F412ed47E0594602f6141936,693968.2315746386,693968231574638642347589
0x2BfbEf59271DA520D0617671FbFd11F8C553F01a,676496.9143402707,676496914340270715051019
0x203a67b09429d1BAA2c56Eb4C57634E498F07819,660612.5346113432,660612534611343153554035
0xa5b65D4a68c1c71AAe3910199F4AB266f726AfbF,648428.6391591053,648428639159105254226929
0x46C5334d0Fa602c9124026d6d5583800e02D9342,588936.4687417966,588936468741796598931312
0xCbf5b0aDF0F58cD1E24249d15CEB31e8624D1a94,587880.3194281474,587880319428147353751809
0x145b8D0FE270b7BC4C362ECfA12E5F97E6788c48,583401.5411514615,583401541151461578137269
0xa53A13A80D72A855481DE5211E7654fAbDFE3526,575100.6550719304,575100655071930355276279
0x9b422e571eb2cb9837efDc4F9087194d65Fb070A,572635.2587711494,572635258771149464469749
0x2De055fec2b826ed4A7478CeDDBefF82C1EdFA70,568648.4491972453,568648449197245290119321
0xB678853c57B94dA8E6FfBf0E792e9c31788D84A2,561214.6830747641,561214683074764037689522
0x5d3183cB8967e3C9b605dc35081E5778EE462328,543775.8163134948,543775816313494809321628
0x0aF86aCf75Cd7DC616b40dbe33da038C900964f5,537669.5133131304,537669513313130414305911
0x2e4ae4d3bD0Af45040b4F17e0BB7E6dC548626B1,533972.5735565122,533972573556512280190609
0xF3Ae3bBdeB2fB7F9C32FbB1F4fbDAF1150a1c5Ce,533899.3472983289,533899347298328922646528
0xFb626333099A91Ab677BCd5e9C71bc4Dbe0238a8,522389.6404776674,522389640477667363350114
0xdE86EA8867E63a4133E255a3E2FF912dfeA6D658,518352.9029095674,518352902909567429208457
0x01c0a5ec348E8451708ba343E7290e30f75454fb,487593.1802942117,487593180294211739699523
0x25Ae7b45D8646580dfcAE403D29164729eB8642f,482913.9011267167,482913901126716681998658
